sampleid,field_rank,ptype_count
1,1,112
2,1,424
3,1,230
4,1,719
5,1,286
6,1,459
7,1,18
8,1,61
9,1,248
10,1,413
11,1,112
12,1,101
13,1,493
14,1,151
15,1,87
16,1,143
17,1,66
18,1,799
19,1,516
20,1,311
21,1,501
22,1,72
23,1,338
24,1,484
25,1,424
26,1,1077
27,1,163
28,1,64
29,1,139
30,1,540
31,1,264
32,1,14
33,1,399
34,1,617
35,1,961
36,1,303
37,1,93
38,1,763
39,1,47
40,1,117
41,1,66
42,1,58
43,1,10
44,1,575
45,1,1718
46,1,85
47,1,8
48,1,244
49,1,85
50,1,69
51,1,125
53,1,4
54,1,50
55,1,485
56,1,312
57,1,765
58,1,334
59,1,81
60,1,119
61,1,67
62,1,103
63,1,575
64,1,473
65,1,91
66,1,361
67,1,526
68,1,48
69,1,54
70,1,11
71,1,84
72,1,4
73,1,54
74,1,125
75,1,40
76,1,460
77,1,67
78,1,436
79,1,273
1,2,61
2,2,411
3,2,95
4,2,618
5,2,211
6,2,321
7,2,17
8,2,59
9,2,214
10,2,352
11,2,96
12,2,99
13,2,456
14,2,148
15,2,82
16,2,90
17,2,40
18,2,612
19,2,432
20,2,798
21,2,225
22,2,52
23,2,291
24,2,349
25,2,388
26,2,891
27,2,51
28,2,60
29,2,113
30,2,286
31,2,218
32,2,7
33,2,347
34,2,529
35,2,815
36,2,290
37,2,47
38,2,506
39,2,36
40,2,45
41,2,18
42,2,21
43,2,7
44,2,563
45,2,1642
46,2,77
47,2,12
48,2,204
49,2,73
50,2,68
51,2,129
53,2,7
54,2,49
55,2,474
56,2,196
57,2,691
58,2,285
59,2,54
60,2,49
61,2,75
62,2,111
63,2,434
64,2,330
65,2,81
66,2,311
67,2,392
68,2,9
69,2,192
70,2,17
71,2,58
72,2,4
73,2,44
74,2,5
75,2,39
76,2,153
77,2,55
78,2,353
79,2,262
1,3,48
2,3,382
3,3,211
4,3,576
5,3,133
6,3,276
7,3,16
8,3,53
9,3,207
10,3,341
11,3,56
12,3,84
13,3,344
14,3,44
15,3,22
16,3,57
17,3,22
18,3,489
19,3,480
20,3,681
21,3,459
22,3,17
23,3,103
24,3,241
25,3,330
26,3,673
27,3,98
28,3,33
29,3,76
30,3,197
31,3,207
32,3,4
33,3,343
34,3,498
35,3,802
36,3,245
37,3,41
38,3,451
39,3,19
40,3,135
41,3,17
42,3,12
43,3,2
44,3,554
45,3,1583
46,3,89
47,3,6
48,3,196
49,3,76
50,3,53
51,3,114
53,3,3
54,3,49
55,3,336
56,3,305
57,3,613
58,3,201
59,3,57
60,3,17
61,3,38
62,3,48
63,3,467
64,3,515
65,3,49
66,3,303
67,3,337
68,3,8
69,3,125
70,3,6
71,3,37
72,3,4
73,3,14
74,3,4
75,3,42
76,3,143
77,3,19
78,3,315
79,3,258
1,4,47
2,4,365
3,4,156
4,4,480
5,4,131
6,4,218
7,4,12
8,4,52
9,4,202
10,4,334
11,4,32
12,4,83
13,4,312
14,4,143
15,4,54
16,4,35
17,4,17
18,4,477
19,4,241
20,4,363
21,4,414
22,4,25
23,4,82
24,4,229
25,4,328
26,4,618
27,4,115
28,4,56
29,4,49
30,4,182
31,4,194
32,4,5
33,4,341
34,4,446
35,4,805
36,4,227
37,4,30
38,4,354
39,4,8
40,4,130
41,4,28
42,4,11
43,4,3
44,4,509
45,4,1583
46,4,76
47,4,7
48,4,195
49,4,65
50,4,49
51,4,97
53,4,4
54,4,47
55,4,270
56,4,145
57,4,495
58,4,275
59,4,64
60,4,32
61,4,31
62,4,62
63,4,410
64,4,336
65,4,55
66,4,296
67,4,199
68,4,11
69,4,114
70,4,10
71,4,43
72,4,4
73,4,37
74,4,11
75,4,47
76,4,118
77,4,38
78,4,75
79,4,246
1,5,31
2,5,350
3,5,126
4,5,473
5,5,130
6,5,201
7,5,13
8,5,49
9,5,200
10,5,276
11,5,30
12,5,83
13,5,298
14,5,129
15,5,43
16,5,16
17,5,17
18,5,458
19,5,445
20,5,784
21,5,356
22,5,22
23,5,77
24,5,155
25,5,327
26,5,449
27,5,58
28,5,54
29,5,46
30,5,138
31,5,169
32,5,2
33,5,340
34,5,443
35,5,645
36,5,94
37,5,38
38,5,284
39,5,5
40,5,39
41,5,11
42,5,9
43,5,2
44,5,441
45,5,1513
46,5,52
47,5,3
48,5,115
49,5,52
50,5,45
51,5,46
53,5,4
54,5,28
55,5,277
56,5,249
57,5,363
58,5,272
59,5,60
60,5,16
61,5,24
62,5,56
63,5,422
64,5,412
65,5,53
66,5,293
67,5,333
68,5,16
69,5,120
70,5,5
71,5,12
72,5,1
73,5,42
74,5,4
75,5,18
76,5,107
77,5,39
78,5,271
79,5,193
1,6,28
2,6,347
3,6,51
4,6,363
5,6,112
6,6,196
7,6,12
8,6,40
9,6,192
10,6,243
11,6,17
12,6,82
13,6,293
14,6,128
15,6,30
16,6,18
17,6,16
18,6,460
19,6,443
20,6,763
21,6,313
22,6,22
23,6,70
24,6,110
25,6,272
26,6,415
27,6,29
28,6,41
29,6,16
30,6,47
31,6,160
32,6,6
33,6,327
34,6,433
35,6,604
36,6,79
37,6,35
38,6,254
39,6,5
40,6,92
41,6,12
42,6,9
43,6,2
44,6,446
45,6,1490
46,6,48
47,6,3
48,6,171
49,6,35
50,6,43
51,6,84
53,6,5
54,6,40
55,6,274
56,6,72
57,6,179
58,6,217
59,6,35
60,6,14
62,6,51
63,6,405
64,6,293
65,6,44
66,6,286
67,6,306
68,6,15
69,6,47
70,6,8
71,6,20
72,6,2
73,6,18
74,6,11
75,6,26
76,6,73
77,6,35
78,6,267
79,6,165
1,7,18
2,7,342
3,7,121
4,7,289
5,7,102
6,7,188
7,7,11
8,7,30
9,7,183
10,7,217
11,7,11
12,7,78
13,7,280
14,7,112
15,7,27
16,7,28
17,7,12
18,7,450
19,7,395
20,7,465
21,7,344
22,7,18
23,7,70
24,7,106
25,7,247
26,7,213
27,7,60
28,7,21
29,7,36
30,7,104
31,7,158
32,7,6
33,7,324
34,7,419
35,7,531
36,7,174
37,7,31
38,7,208
39,7,2
40,7,95
41,7,5
42,7,8
43,7,2
44,7,438
45,7,1471
46,7,7
47,7,5
48,7,165
49,7,26
50,7,32
51,7,83
53,7,3
54,7,38
55,7,157
56,7,214
57,7,339
58,7,293
59,7,25
60,7,4
62,7,17
