sampleid,field_rank,ptype_count
14,0.000657462,151
44,0.000675676,575
78,0.000681199,436
66,0.00094162,361
6,0.000956938,459
3,0.00102145,230
33,0.001071811,399
40,0.001175088,117
14,0.001314924,148
44,0.001351351,563
78,0.001362398,353
51,0.001474926,125
13,0.001506024,493
64,0.001883239,473
66,0.001883239,311
6,0.001913876,321
14,0.001972387,44
31,0.002,264
44,0.002027027,554
3,0.002042901,95
78,0.002043597,315
62,0.002109705,103
33,0.002143623,347
45,0.002222222,1718
40,0.002350176,45
68,0.002380952,48
54,0.002392344,50
8,0.002590674,61
14,0.002629849,143
44,0.002702703,509
78,0.002724796,75
66,0.002824859,303
6,0.002870813,276
67,0.002923977,526
51,0.002949853,129
13,0.003012048,456
3,0.003064351,211
28,0.003194888,64
33,0.003215434,343
14,0.003287311,129
44,0.003378378,441
78,0.003405995,271
4,0.003448276,719
40,0.003525264,135
56,0.003584229,312
20,0.003703704,311
64,0.003766478,330
66,0.003766478,296
6,0.003827751,218
65,0.003846154,91
37,0.003875969,93
14,0.003944773,128
31,0.004,218
44,0.004054054,446
3,0.004085802,156
78,0.004087193,267
62,0.004219409,111
63,0.004219409,575
33,0.004287245,341
79,0.004347826,273
2,0.004424779,424
51,0.004424779,114
45,0.004444444,1642
13,0.004518072,344
19,0.004545455,516
12,0.004587156,101
14,0.004602235,112
40,0.004700353,130
66,0.004708098,293
44,0.00472973,438
68,0.004761905,9
78,0.004768392,263
6,0.004784689,201
54,0.004784689,49
10,0.004975124,413
3,0.005107252,126
32,0.005128205,14
8,0.005181347,59
69,0.005208333,54
58,0.005235602,334
14,0.005259698,110
33,0.005359057,340
44,0.005405405,418
78,0.005449591,249
64,0.005649718,515
66,0.005649718,286
6,0.005741627,196
21,0.005747126,501
18,0.005780347,799
67,0.005847953,392
40,0.005875441,39
51,0.005899705,97
14,0.00591716,108
31,0.006,207
13,0.006024096,312
44,0.006081081,411
3,0.006128703,51
78,0.00613079,240
62,0.006329114,48
28,0.006389776,60
33,0.006430868,327
14,0.006574622,107
9,0.006578947,248
66,0.006591337,287
45,0.006666667,1583
6,0.006698565,188
44,0.006756757,398
57,0.006756757,765
78,0.006811989,238
4,0.006896552,618
23,0.006896552,338
40,0.007050529,92
68,0.007142857,8
3,0.007150153,121
56,0.007168459,196
54,0.007177033,49
14,0.007232084,105
51,0.007374631,46
20,0.007407407,798
44,0.007432432,365
78,0.007493188,224
33,0.00750268,324
13,0.00753012,298
64,0.007532957,336
66,0.007532957,278
6,0.007655502,136
65,0.007692308,81
37,0.007751938,47
8,0.007772021,53
14,0.007889546,102
31,0.008,194
38,0.008064516,763
44,0.008108108,347
3,0.008171604,143
78,0.008174387,206
40,0.008225617,95
62,0.008438819,62
63,0.008438819,434
66,0.008474576,277
14,0.008547009,101
33,0.008574491,322
6,0.00861244,139
79,0.008695652,262
36,0.00877193,303
67,0.00877193,337
44,0.008783784,346
2,0.008849558,411
29,0.008849558,139
51,0.008849558,84
78,0.008855586,205
45,0.008888889,1583
13,0.009036145,293
19,0.009090909,432
12,0.009174312,99
3,0.009193054,133
14,0.009204471,99
40,0.009400705,110
64,0.009416196,412
66,0.009416196,269
44,0.009459459,344
68,0.00952381,11
78,0.009536785,201
6,0.009569378,130
54,0.009569378,47
28,0.009584665,33
5,0.009615385,286
33,0.009646302,313
14,0.009861933,99
10,0.009950249,352
31,0.01,169
44,0.010135135,298
3,0.010214505,116
78,0.010217984,199
32,0.01025641,7
51,0.010324484,83
4,0.010344828,576
66,0.010357815,266
8,0.010362694,52
35,0.010416667,961
69,0.010416667,192
58,0.010471204,285
14,0.010519395,95
6,0.010526316,120
13,0.010542169,280
62,0.010548523,56
40,0.010575793,108
33,0.010718114,290
56,0.010752688,305
44,0.010810811,131
78,0.010899183,185
20,0.011111111,681
45,0.011111111,1513
14,0.011176857,93
3,0.011235955,75
48,0.011235955,244
64,0.011299435,293
66,0.011299435,258
6,0.011483254,120
44,0.011486486,289
21,0.011494253,225
65,0.011538462,49
18,0.011560694,612
78,0.011580381,172
37,0.011627907,41
67,0.011695906,199
40,0.011750881,104
33,0.011789925,285
51,0.01179941,80
14,0.01183432,93
68,0.011904762,16
54,0.011961722,28
31,0.012,160
13,0.012048193,277
44,0.012162162,285
66,0.012241055,259
3,0.012257406,113
78,0.01226158,164
6,0.012440191,105
14,0.012491782,91
25,0.0125,424
24,0.012658228,484
62,0.012658228,51
63,0.012658228,467
28,0.012779553,56
42,0.012820513,58
44,0.012837838,278
33,0.012861736,284
40,0.012925969,103
78,0.012942779,162
8,0.012953368,49
79,0.013043478,258
14,0.013149244,88
9,0.013157895,214
64,0.013182674,201
66,0.013182674,258
2,0.013274336,382
51,0.013274336,77
3,0.013278856,108
45,0.013333333,1490
6,0.013397129,96
17,0.013513514,66
44,0.013513514,273
57,0.013513514,691
13,0.013554217,263
78,0.013623978,161
19,0.013636364,480
12,0.013761468,84
4,0.013793103,480
23,0.013793103,291
14,0.013806706,87
33,0.013933548,279
31,0.014,158
40,0.014101058,72
66,0.014124294,258
44,0.014189189,273
68,0.014285714,15
3,0.014300306,107
78,0.014305177,159
56,0.014336918,145
6,0.014354067,95
54,0.014354067,40
14,0.014464168,87
67,0.014619883,333
51,0.014749263,76
62,0.014767932,17
20,0.014814815,363
44,0.014864865,274
10,0.014925373,341
30,0.014925373,540
78,0.014986376,157
33,0.015005359,278
13,0.015060241,262
64,0.015065913,311
66,0.015065913,256
14,0.015121631,85
40,0.015276146,101
6,0.015311005,87
3,0.015321757,69
32,0.015384615,4
2,0.871681416,13
40,0.871915394,9
64,0.871939736,18
66,0.871939736,24
44,0.872297297,1
3,0.872318693,6
4,0.872413793,11
33,0.872454448,2
19,0.872727273,45
18,0.87283237,59
66,0.872881356,24
44,0.872972973,1
40,0.873090482,9
45,0.873333333,476
3,0.873340143,6
24,0.873417722,1
