sampleid,field_rank,tumor_area,ptype_count
1,0.576923077,0.008920697,11.67504156
1,0.076923077,0.012994878,354.4261434
1,0.423076923,0.017257569,23.26273868
1,0.115384615,0.020057151,280.2009975
1,0.384615385,0.029719149,29.04221111
1,0.346153846,0.043209855,29.114726
1,0.538461538,0.044893507,17.44705401
1,0.269230769,0.047456034,104.8130136
1,0.307692308,0.047636982,75.79291045
1,0.230769231,0.056626057,163.2982514
1,0.038461538,0.060081829,651.3566829
1,0.653846154,0.061041144,11.62052929
1,0.615384615,0.077585949,11.67504156
1,0.192307692,0.093202235,180.3430707
1,0.730769231,0.102872091,5.837520782
1,0.153846154,0.105949116,273.7651445
1,0.5,0.132114059,17.4688356
1,0.461538462,0.138158435,23.24105858
1,0.692307692,0.171220356,5.837520782
2,0.699115044,0.008825332,327.2063936
2,0.623893805,0.010856459,431.9765378
2,0.566371681,0.012362814,497.8988668
2,0.933628319,0.012570759,70.2260342
2,0.128318584,0.014920835,1360.870213
2,0.946902655,0.018047242,46.48211717
2,0.973451327,0.020325708,17.44705401
2,0.995575221,0.021730335,5.815684669
2,0.628318584,0.024410705,430.2260547
2,0.477876106,0.027262818,608.6256297
2,0.92920354,0.031266918,75.6039007
2,0.424778761,0.031357152,710.3993143
2,0.451327434,0.032819854,672.9994944
2,0.150442478,0.034147012,1314.344735
2,0.575221239,0.03549539,476.8861429
2,0.601769912,0.037693163,448.2258406
2,0.845132743,0.040630828,156.8771454
2,0.455752212,0.041076879,665.4773691
2,0.123893805,0.045452473,1382.409249
2,0.345132743,0.046110456,848.5645799
2,0.690265487,0.046749804,338.5762053
2,0.991150442,0.047407742,5.837520782
2,0.924778761,0.048341173,75.722274
2,0.969026549,0.051193532,23.23376889
2,0.592920354,0.060865936,453.6234042
2,0.088495575,0.062226313,1528.099602
2,0.615044248,0.062383235,444.7648832
2,0.376106195,0.062439392,791.9205471
2,0.46460177,0.062555967,632.6244425
2,0.960176991,0.064001276,29.114726
2,0.862831858,0.064463854,139.5764321
2,0.938053097,0.06564219,52.34116202
2,0.097345133,0.066203552,1519.310966
2,0.486725664,0.068987205,582.1114813
2,0.977876106,0.071560422,11.67504156
2,0.309734513,0.072499173,879.2647251
2,0.53539823,0.075444513,520.1904014
2,0.340707965,0.075888668,857.0429104
2,0.247787611,0.077046582,1033.902716
2,0.853982301,0.07953705,145.755597
2,0.654867257,0.080340621,362.7181867
2,0.238938053,0.084247805,1058.45461
2,0.836283186,0.084355318,163.2462687
2,0.730088496,0.087630374,301.3821851
2,0.721238938,0.087877148,319.8626568
2,0.5,0.089613345,564.8256843
2,0.743362832,0.0931074,284.9685488
2,0.942477876,0.093351562,52.32479044
2,0.283185841,0.093572433,923.5423133
2,0.800884956,0.094962885,198.724423
2,0.955752212,0.097293778,34.85065333
2,0.039823009,0.10143929,1944.863696
2,0.305309735,0.101639444,895.615439
2,0.438053097,0.104750517,686.891548
2,0.831858407,0.114440689,163.6554072
2,0.35840708,0.115198758,817.2529094
2,0.092920354,0.118679048,1523.709383
2,0.14159292,0.118833961,1327.631505
2,0.362831858,0.132326912,813.1819111
2,0.318584071,0.13564052,874.5335821
2,0.278761062,0.135996593,929.3507556
2,0.889380531,0.137321768,105.0753741
2,0.792035398,0.141935909,203.803082
2,0.522123894,0.142711422,534.2103674
2,0.67699115,0.143759482,343.983209
2,0.221238938,0.146348609,1102.23138
2,0.42920354,0.146569975,691.4214929
2,0.300884956,0.147200037,906.4012848
2,0.898230088,0.147502897,99.23785329
2,0.915929204,0.148919111,81.21704908
2,0.685840708,0.152726001,338.8923362
2,0.32300885,0.153020228,868.7033582
2,0.96460177,0.153522315,29.07842334
2,0.920353982,0.154162292,76.00730138
2,0.637168142,0.154228143,407.6061639
2,0.491150442,0.157992943,575.03578
2,0.292035398,0.160673104,918.8781777
2,0.402654867,0.161171634,747.20266
2,0.163716814,0.16534249,1274.824144
2,0.159292035,0.167243514,1288.479478
2,0.712389381,0.168511012,321.063643
2,0.398230088,0.168740455,757.689676
2,0.256637168,0.16913208,1007.369519
2,0.079646018,0.170347769,1570.29309
2,0.442477876,0.1707174,685.343146
2,0.269911504,0.1708768,977.3123092
2,0.495575221,0.1708768,573.5126126
2,0.610619469,0.1708768,444.7648832
2,0.725663717,0.1708768,304.3128148
2,0.774336283,0.1708768,222.3824416
2,0.778761062,0.1708768,222.3824416
2,0.783185841,0.1708768,210.6781026
2,0.415929204,0.170883145,736.6861518
2,0.181415929,0.1709316,1175.90896
2,0.243362832,0.1709316,1047.202507
2,0.64159292,0.1709316,397.8199467
2,0.796460177,0.1709316,198.9099733
2,0.075221239,0.1710912,1589.795384
2,0.137168142,0.1710912,1338.467437
2,0.203539823,0.1710912,1133.898178
2,0.274336283,0.1710912,958.5530992
2,0.526548673,0.1710912,526.0352373
2,0.530973451,0.1710912,526.0352373
2,0.548672566,0.1710912,508.5007294
2,0.57079646,0.1710912,485.1213856
2,0.588495575,0.1710912,455.8972057
2,0.681415929,0.1710912,339.0004863
2,0.827433628,0.1710912,163.6554072
2,0.849557522,0.1710912,151.9657352
2,0.871681416,0.1710912,122.7415554
2,0.880530973,0.1710912,111.0518834
2,0.884955752,0.1710912,105.2070475
2,0.066371681,0.1711458,1659.403853
2,0.380530973,0.1711458,782.9581561
2,0.353982301,0.1712508,817.5144291
2,0.579646018,0.1712508,461.3117136
2,0.030973451,0.1713056,1996.432107
2,0.057522124,0.1713056,1716.23111
2,0.194690265,0.1713056,1144.154073
2,0.199115044,0.1713056,1138.316552
2,0.207964602,0.1713056,1132.479032
2,0.39380531,0.1713056,764.7152224
2,0.508849558,0.1713056,548.7269535
2,0.557522124,0.1713056,502.0267872
2,0.597345133,0.1713056,449.4891002
2,0.659292035,0.1713056,361.9262885
2,0.668141593,0.1713056,356.0887677
2,0.026548673,0.171349845,2017.411365
2,0.132743363,0.17136,1353.874883
2,0.17699115,0.17136,1254.668534
2,0.367256637,0.17136,799.4864613
2,0.110619469,0.171388627,1439.151179
2,0.85840708,0.171434766,145.3921167
2,0.212389381,0.1714654,1119.759438
2,0.230088496,0.1714654,1073.102795
2,0.951327434,0.1714654,34.99248245
2,0.008849558,0.17152,2396.222015
2,0.03539823,0.17152,1964.785448
2,0.084070796,0.17152,1568.330224
2,0.119469027,0.17152,1393.423507
2,0.168141593,0.17152,1270.988806
2,0.216814159,0.17152,1119.402985
2,0.225663717,0.17152,1084.421642
2,0.252212389,0.17152,1020.289179
2,0.407079646,0.17152,746.2686567
2,0.433628319,0.17152,687.9664179
2,0.513274336,0.17152,542.2108209
2,0.517699115,0.17152,536.380597
2,0.539823009,0.17152,518.8899254
2,0.553097345,0.17152,507.2294776
2,0.561946903,0.17152,501.3992537
2,0.694690265,0.17152,338.1529851
2,0.703539823,0.17152,326.4925373
2,0.734513274,0.17152,297.3414179
2,0.738938053,0.17152,291.511194
2,0.022123894,0.1715742,2039.933743
2,0.061946903,0.1715742,1707.715962
2,0.172566372,0.17168,1269.804287
2,0.460176991,0.17168,640.7269338
2,0.469026549,0.171684099,615.1210686
2,0.371681416,0.171725379,791.9205471
2,0.004424779,0.1717344,2468.928764
2,0.013274336,0.1717344,2224.365066
2,0.048672566,0.1717344,1840.050683
2,0.146017699,0.1717344,1321.80856
2,0.287610619,0.1717344,920.0253415
2,0.389380531,0.1717344,768.6287663
2,0.185840708,0.1717884,1158.401848
2,0.619469027,0.1717884,436.583611
2,0.663716814,0.1717884,360.9091184
2,0.814159292,0.1717884,168.8123296
2,0.982300885,0.1717884,11.64222963
2,0.053097345,0.1718946,1733.620486
2,0.296460177,0.1718946,913.3503903
2,0.840707965,0.171918431,162.8391707
2,0.07079646,0.1719488,1593.497599
2,0.115044248,0.1719488,1430.658429
2,0.154867257,0.1719488,1291.081997
2,0.314159292,0.1719488,878.168385
2,0.327433628,0.1719488,866.5370157
2,0.420353982,0.1719488,732.7762683
2,0.482300885,0.1719488,604.8312056
2,0.544247788,0.1719488,511.7802509
2,0.60619469,0.1719488,447.8077195
2,0.632743363,0.1719488,424.5449808
2,0.707964602,0.1719488,325.6783415
2,0.716814159,0.1719488,319.8626568
2,0.747787611,0.1719488,279.1528641
2,0.765486726,0.1719488,244.2587561
2,0.787610619,0.1719488,209.3646481
2,0.805309735,0.1719488,191.9175941
2,0.818584071,0.1719488,168.6548554
2,0.89380531,0.1719488,104.682324
2,0.902654867,0.1719488,87.23527003
2,0.907079646,0.1719488,87.23527003
2,0.911504425,0.1719488,87.23527003
2,0.044247788,0.1720026,1912.761784
2,0.672566372,0.1720026,354.6458019
2,0.82300885,0.172075177,168.4448244
37,0.445736434,0.1721632,23.23376889
37,0.515503876,0.1721632,17.42532667
37,0.523255814,0.1721632,17.42532667
37,0.527131783,0.1721632,17.42532667
